date,id,episode,episodes_on_id,kind,severity,basis,severity_end,basis_end,first_tick,last_tick,n_ticks,lifetime_min,impact_leg,impact_leg_first,n_legs,self_scored,has_plans,late_min,quality,scorable,late_15,impact_trip,mut_kind,mut_severity,mut_basis,mut_impact_leg,mut_n_legs,mut_impact_at
2026-07-24,flight_change:22677,1,1,flight_change,critical,flight,critical,flight,06:00,15:12,185,552,21091,21091,2,0,1,3.2,ok,1,0,arrival,0,0,0,0,0,0
2026-07-24,flight_change:26458,1,1,flight_change,critical,flight,critical,flight,06:00,09:54,79,234,29700,29700,2,0,1,4.6,ok,1,0,return,0,0,0,0,0,2
2026-07-24,flight_change:29786,1,1,flight_change,warning,flight,warning,flight,06:00,15:15,186,555,29786,29786,1,1,1,4.7,ok,1,0,arrival,0,0,0,0,0,0
2026-07-24,flight_change:25729,1,2,flight_change,critical,flight,critical,flight,06:12,07:12,21,60,30059,30059,2,0,1,-18.3,ok,1,0,arrival,0,0,0,0,0,0
2026-07-24,unassigned:28569,1,1,unassigned,warning,clock_only,warning,clock_only,07:03,07:36,12,33,28569,28569,1,1,1,745.9,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,unassigned:30059,1,1,unassigned,warning,clock_only,warning,clock_only,07:15,07:33,7,18,30059,30059,1,1,1,-18.3,ok,1,0,arrival,0,0,0,0,0,0
2026-07-24,flight_change:17263,1,1,flight_change,critical,flight,critical,flight,07:24,07:33,4,9,23670,23670,2,0,1,8.2,ok,1,0,return,0,0,0,0,0,0
2026-07-24,flight_change:25729,2,2,flight_change,critical,flight,critical,flight,07:36,08:54,27,78,25533,25533,2,0,1,15.0,ok,1,0,cruise,0,0,0,0,0,0
2026-07-24,late_cascade:22945,1,1,late_cascade,critical,clock_only,critical,clock_only,08:18,08:18,1,0,24145,24145,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-07-24,late_cascade:25729,1,1,late_cascade,critical,clock_only,critical,clock_only,08:48,08:54,3,6,23670,23670,3,0,1,8.2,ok,1,0,return,0,0,0,0,0,0
2026-07-24,overlap:25729:25533,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,08:57,09:27,11,30,25533,25533,2,0,1,15.0,ok,1,0,cruise,0,0,0,0,0,0
2026-07-24,late_cascade:24145,1,1,late_cascade,critical,clock_only,critical,clock_only,09:18,09:42,9,24,28230,24145,2,0,1,4.0,ok,1,0,return,0,0,0,1,1,1
2026-07-24,overlap:22218:27871,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,09:18,09:30,5,12,27871,27871,2,0,1,-26.2,ok,1,0,arrival,0,0,0,0,0,0
2026-07-24,overlap:29625:20433,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,09:24,10:12,17,48,20433,20433,2,0,1,-2.4,ok,1,0,return,0,0,0,0,0,0
2026-07-24,late_cascade:25533,1,1,late_cascade,critical,clock_only,critical,clock_only,09:33,09:39,3,6,25533,25533,1,1,0,15.0,ok,1,0,cruise,0,0,0,0,0,0
2026-07-24,late_cascade:27763,1,1,late_cascade,critical,clock_only,critical,clock_only,09:33,09:54,8,21,27763,27763,1,1,0,44.5,ok,1,1,cruise,0,0,0,0,0,0
2026-07-24,overlap:25533:23670,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,09:54,11:57,42,123,23670,23670,2,0,1,8.2,ok,1,0,return,0,0,0,0,0,0
2026-07-24,overlap:27763:28997,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,09:57,10:42,16,45,28997,28997,2,0,1,70.4,ok,1,1,arrival,0,0,0,0,0,1
2026-07-24,overrun:25533,1,1,overrun,critical,recorded_pickup,critical,recorded_pickup,10:45,10:51,3,6,23670,23670,2,0,1,8.2,ok,1,0,return,0,0,0,0,0,0
2026-07-24,overlap:30039:29761,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,11:42,12:09,10,27,29761,29761,2,0,1,15.1,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,late_cascade:28953,1,1,late_cascade,critical,clock_only,critical,clock_only,12:12,12:39,10,27,29656,28953,2,0,1,,none,0,,return,0,0,0,1,1,1
2026-07-24,late_cascade:29656,1,2,late_cascade,critical,clock_only,critical,clock_only,13:03,13:12,4,9,29656,29656,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-07-24,overrun:29675,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,13:03,13:09,3,6,29675,29675,1,1,1,17.6,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,overrun:27871,1,1,overrun,warning,recorded_pickup,critical,recorded_pickup,13:06,13:21,6,15,29054,27871,2,0,1,16.0,ok,1,1,return,0,1,0,1,1,1
2026-07-24,late_cascade:29656,2,2,late_cascade,watch,clock_only,watch,clock_only,13:48,13:51,2,3,29656,29656,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-07-24,overrun:29305,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,14:27,14:30,2,3,29305,29305,1,1,1,9.4,ok,1,0,return,0,0,0,0,0,0
2026-07-24,late_cascade:29025,1,1,late_cascade,critical,clock_only,watch,clock_only,15:27,16:18,18,51,29025,29025,1,1,0,,none,0,,cruise,0,1,0,0,0,0
2026-07-24,late_cascade:7232,1,1,late_cascade,critical,clock_only,critical,clock_only,16:48,16:57,4,9,7232,7232,1,1,0,13.3,ok,1,0,return,0,0,0,0,0,0
2026-07-24,late_cascade:29779,1,1,late_cascade,critical,clock_only,critical,clock_only,18:48,18:51,2,3,29657,29657,2,0,1,49.8,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,overlap:29779:29657,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,18:54,19:45,18,51,29657,29657,2,0,1,49.8,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,late_cascade:29657,1,1,late_cascade,critical,clock_only,critical,clock_only,20:24,20:30,3,6,29657,29657,1,1,0,49.8,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,late_cascade:28768,1,1,late_cascade,critical,clock_only,critical,clock_only,22:30,22:45,6,15,28768,28768,1,1,0,55.8,ok,1,1,arrival,0,0,0,0,0,0
2026-07-24,overrun:26543,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,22:33,22:45,5,12,26543,26543,1,1,1,-24.2,ok,1,0,arrival,0,0,0,0,0,0
2026-07-25,flight_change:20399,1,1,flight_change,critical,flight,critical,flight,06:00,08:42,55,162,28673,28673,2,0,1,-1.6,ok,1,0,return,0,0,0,0,0,0
2026-07-25,flight_change:23523,1,1,flight_change,critical,flight,critical,flight,06:00,08:42,55,162,20399,20399,2,0,1,,none,0,,arrival,0,0,0,0,0,0
2026-07-25,flight_change:24917,1,1,flight_change,critical,flight,critical,flight,06:00,15:30,191,570,28430,28430,2,0,1,-30.6,ok,1,0,return,0,0,0,0,0,0
2026-07-25,flight_change:25316,1,1,flight_change,critical,flight,critical,flight,06:00,14:30,171,510,24541,24541,2,0,1,-9.6,ok,1,0,return,0,0,0,0,0,0
2026-07-25,flight_change:25753,1,1,flight_change,critical,flight,critical,flight,06:00,12:39,134,399,23305,23305,2,0,1,0.3,ok,1,0,arrival,0,0,0,0,0,0
2026-07-25,flight_change:27600,1,1,flight_change,critical,flight,critical,flight,06:00,10:48,97,288,22038,22038,2,0,1,-9.4,ok,1,0,return,0,0,0,0,0,0
2026-07-25,flight_change:27655,1,1,flight_change,critical,flight,critical,flight,06:00,10:09,84,249,25836,25836,2,0,1,1.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,flight_change:28321,1,1,flight_change,critical,flight,critical,flight,06:00,09:48,77,228,28948,28948,2,0,1,-4.8,ok,1,0,return,0,0,0,0,0,0
2026-07-25,flight_change:28701,1,1,flight_change,critical,flight,critical,flight,06:00,09:06,63,186,24589,24589,2,0,1,-15.7,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:21954,1,1,late_cascade,critical,clock_only,critical,clock_only,06:00,06:00,1,0,22631,22631,3,0,1,,none,0,,return,0,0,0,0,0,0
2026-07-25,overlap:21954:27597,1,1,overlap,critical,clock_only,critical,clock_only,06:00,06:27,10,27,27597,27597,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-07-25,overlap:22000:27594,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,11:12,105,312,27594,27594,2,0,1,7.8,ok,1,0,return,0,0,1,0,0,0
2026-07-25,overlap:22038:28711,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,13:42,155,462,28711,28711,2,0,1,-7.0,ok,1,0,return,0,0,1,0,0,0
2026-07-25,overlap:23169:29996,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,17:21,228,681,29996,29996,2,0,1,19.6,ok,1,1,arrival,0,0,1,0,0,0
2026-07-25,overlap:24823:29423,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,13:12,145,432,29423,29423,2,0,1,58.9,ok,1,1,return,0,0,1,0,0,0
2026-07-25,overlap:25596:18979,1,1,overlap,critical,clock_only,critical,clock_only,06:00,09:30,71,210,18979,18979,2,0,0,-20.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,overlap:28673:25915,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,12:27,130,387,25915,25915,2,0,1,5.7,ok,1,0,return,0,0,1,0,0,0
2026-07-25,late_cascade:26968,1,1,late_cascade,critical,clock_only,critical,clock_only,06:03,06:36,12,33,26968,26968,1,1,0,38.0,ok,1,1,return,0,0,0,0,0,0
2026-07-25,late_cascade:23862,1,1,late_cascade,critical,clock_only,critical,clock_only,06:36,06:36,1,0,29408,29408,2,0,1,-8.3,ok,1,0,other,0,0,0,0,0,0
2026-07-25,late_cascade:28202,1,1,late_cascade,critical,clock_only,critical,clock_only,06:36,06:57,8,21,29423,28356,5,0,1,58.9,ok,1,1,return,0,0,0,3,3,0
2026-07-25,overlap:23862:29408,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,06:39,07:21,15,42,29408,29408,2,0,1,-8.3,ok,1,0,other,0,0,0,0,0,0
2026-07-25,late_cascade:27597,1,1,late_cascade,critical,clock_only,watch,clock_only,06:48,07:30,15,42,27597,22631,1,1,1,,none,0,,return,0,1,0,2,2,1
2026-07-25,overlap:28202:28356,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,07:00,07:57,20,57,28356,28356,2,0,1,62.1,ok,1,1,cruise,0,0,0,0,0,0
2026-07-25,flight_change:28735,1,2,flight_change,critical,flight,critical,flight,07:27,07:27,1,0,24164,24164,2,0,0,,none,0,,return,0,0,0,0,0,0
2026-07-25,overlap:24164:28609,1,1,overlap,critical,clock_only,critical,clock_only,07:27,07:27,1,0,28609,28609,2,0,0,-18.7,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:28356,1,1,late_cascade,critical,clock_only,watch,clock_only,08:03,09:00,20,57,28356,28356,1,1,1,62.1,ok,1,1,cruise,0,1,0,3,3,1
2026-07-25,unassigned:20399,1,1,unassigned,warning,clock_only,critical,clock_only,08:45,09:27,15,42,20399,20399,1,1,1,,none,0,,arrival,0,1,0,0,0,0
2026-07-25,late_cascade:22631,1,1,late_cascade,critical,clock_only,critical,clock_only,08:48,08:48,1,0,22631,22631,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-07-25,unassigned:25946,1,1,unassigned,critical,clock_only,critical,clock_only,09:00,09:00,1,0,25946,25946,1,1,1,,none,0,,cruise,0,0,0,0,0,0
2026-07-25,late_cascade:27890,1,1,late_cascade,critical,clock_only,critical,clock_only,09:03,09:30,10,27,27594,27890,3,0,1,7.8,ok,1,0,return,0,0,0,2,2,1
2026-07-25,overlap:28356:28594,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,09:03,09:42,14,39,28594,28594,2,0,1,16.6,ok,1,1,return,0,0,0,0,0,0
2026-07-25,overlap:22831:23460,1,1,overlap,warning,recorded_pickup,critical,recorded_pickup,09:21,11:03,35,102,23460,23460,2,0,1,-1.0,ok,1,0,arrival,0,1,0,0,0,1
2026-07-25,overlap:22678:18979,1,1,overlap,critical,clock_only,critical,recorded_pickup,09:33,11:27,39,114,18979,18979,2,0,1,-20.3,ok,1,0,return,0,0,1,0,0,0
2026-07-25,overlap:27890:22000,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,09:33,10:09,13,36,22000,22000,2,0,1,0.1,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:28594,1,1,late_cascade,critical,clock_only,critical,clock_only,09:51,10:00,4,9,29423,24823,3,0,1,58.9,ok,1,1,return,0,0,0,1,1,0
2026-07-25,overlap:28321:28948,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,09:51,10:09,7,18,28948,28948,2,0,1,-4.8,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:25883,1,1,late_cascade,critical,clock_only,watch,clock_only,10:03,11:09,23,66,25883,25883,1,1,0,,none,0,,cruise,0,1,0,0,0,0
2026-07-25,overlap:28594:24823,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:03,10:42,14,39,24823,24823,2,0,1,97.2,ok,1,1,cruise,0,0,0,0,0,0
2026-07-25,flight_change:28735,2,2,flight_change,critical,flight,critical,flight,10:06,12:12,43,126,24164,24164,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-07-25,late_cascade:27655,1,1,late_cascade,critical,clock_only,critical,clock_only,10:09,10:09,1,0,25836,25836,2,0,0,1.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,overlap:27655:25836,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:12,11:27,26,75,25836,25836,2,0,1,1.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,overlap:28948:28673,1,1,overlap,critical,clock_only,critical,clock_only,10:12,10:27,6,15,28673,28673,2,0,1,-1.6,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:22000,1,1,late_cascade,critical,clock_only,critical,clock_only,10:18,10:54,13,36,27594,27594,2,0,1,7.8,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:22678,1,1,late_cascade,critical,clock_only,critical,clock_only,10:33,10:36,2,3,18979,18979,2,0,0,-20.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:24823,1,1,late_cascade,critical,clock_only,watch,clock_only,10:54,12:21,30,87,24823,29423,1,1,1,97.2,ok,1,1,cruise,0,1,0,1,1,1
2026-07-25,unassigned:24836,1,1,unassigned,warning,clock_only,warning,clock_only,11:00,11:15,6,15,24836,24836,1,1,0,,none,0,,arrival,0,0,0,0,0,0
2026-07-25,late_cascade:28877,1,1,late_cascade,critical,clock_only,critical,clock_only,11:09,11:24,6,15,28877,28877,1,1,0,56.5,ok,1,1,arrival,0,0,0,0,0,0
2026-07-25,unassigned:29167,1,1,unassigned,warning,clock_only,critical,clock_only,11:30,12:06,13,36,29167,29167,1,1,1,-21.2,ok,1,0,return,0,1,0,0,0,0
2026-07-25,overrun:22678,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,11:51,11:51,1,0,22678,22678,1,1,0,7.1,ok,1,0,cruise,0,0,0,0,0,0
2026-07-25,late_cascade:28642,1,1,late_cascade,critical,clock_only,watch,clock_only,12:00,12:51,18,51,28642,25316,1,1,1,2.1,ok,1,0,cruise,0,1,0,1,1,1
2026-07-25,late_cascade:27594,1,1,late_cascade,watch,clock_only,watch,clock_only,12:03,12:15,5,12,27594,27594,1,1,0,7.8,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:25753,1,1,late_cascade,critical,clock_only,critical,clock_only,12:33,12:39,3,6,23305,23305,2,0,1,0.3,ok,1,0,arrival,0,0,0,0,0,0
2026-07-25,overlap:25753:23305,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,12:42,13:51,24,69,23305,23305,2,0,1,0.3,ok,1,0,arrival,0,0,0,0,0,1
2026-07-25,overlap:28642:25316,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,12:54,14:09,26,75,25316,25316,2,0,1,-16.4,ok,1,0,arrival,0,0,0,0,0,0
2026-07-25,late_cascade:20465,1,1,late_cascade,critical,clock_only,critical,clock_only,13:12,13:30,7,18,25531,25531,2,0,1,63.6,ok,1,1,arrival,0,0,0,0,0,0
2026-07-25,late_cascade:29423,1,1,late_cascade,critical,clock_only,watch,clock_only,13:18,14:12,19,54,29423,29423,1,1,0,58.9,ok,1,1,return,0,1,0,0,0,0
2026-07-25,overlap:29613:26228,1,1,overlap,critical,clock_only,critical,recorded_pickup,13:45,16:27,55,162,26228,26228,2,0,1,24.3,ok,1,1,arrival,0,0,1,0,0,0
2026-07-25,late_cascade:28711,1,1,late_cascade,critical,clock_only,critical,clock_only,14:03,14:15,5,12,29412,29412,2,0,1,-12.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:24503,1,1,late_cascade,critical,clock_only,critical,clock_only,14:06,14:48,15,42,24164,24503,2,0,1,,none,0,,return,0,0,0,1,1,1
2026-07-25,late_cascade:25531,1,1,late_cascade,critical,clock_only,critical,clock_only,14:09,14:30,8,21,25531,25531,1,1,0,63.6,ok,1,1,arrival,0,0,0,0,0,0
2026-07-25,overlap:29423:27716,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,14:15,14:57,15,42,27716,27716,2,0,1,36.0,ok,1,1,return,0,0,0,0,0,0
2026-07-25,overlap:28711:29412,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,14:18,14:57,14,39,29412,29412,2,0,1,-12.3,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:27716,1,1,late_cascade,critical,clock_only,critical,clock_only,15:03,15:33,11,30,27716,27716,1,1,0,36.0,ok,1,1,return,0,0,0,0,0,0
2026-07-25,late_cascade:24164,1,1,late_cascade,critical,clock_only,critical,clock_only,15:33,15:51,7,18,24164,24164,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-07-25,unassigned:28430,1,1,unassigned,warning,clock_only,warning,clock_only,15:33,15:33,1,0,28430,28430,1,1,1,-30.6,ok,1,0,return,0,0,0,0,0,0
2026-07-25,late_cascade:23169,1,1,late_cascade,critical,clock_only,critical,clock_only,16:03,16:21,7,18,29996,29996,2,0,1,19.6,ok,1,1,arrival,0,0,0,0,0,0
2026-07-25,late_cascade:25350,1,1,late_cascade,watch,clock_only,watch,clock_only,18:33,19:48,26,75,25350,25350,1,1,0,125.8,ok,1,1,return,0,0,0,0,0,0
2026-07-25,overrun:29452,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,19:48,20:09,8,21,29452,29452,1,1,1,5.5,ok,1,0,cruise,0,0,0,0,0,0
2026-07-26,flight_change:19464,1,1,flight_change,critical,flight,critical,flight,06:00,09:51,78,231,30251,30251,2,0,0,-38.1,ok,1,0,arrival,0,0,0,0,0,0
2026-07-26,flight_change:23303,1,1,flight_change,warning,flight,warning,flight,06:00,06:18,7,18,23303,23303,1,1,0,-3.8,ok,1,0,arrival,0,0,0,0,0,0
2026-07-26,flight_change:27376,1,1,flight_change,critical,flight,critical,flight,06:00,09:48,77,228,21303,21303,2,0,1,-21.9,ok,1,0,return,0,0,0,0,0,0
2026-07-26,flight_change:28571,1,1,flight_change,critical,flight,critical,flight,06:00,08:51,58,171,25941,25941,2,0,0,-53.6,ok,1,0,other,0,0,0,0,0,0
2026-07-26,flight_change:29390,1,1,flight_change,warning,flight,critical,flight,06:00,17:57,240,717,26775,29390,2,0,1,,none,0,,return,0,1,0,1,1,1
2026-07-26,flight_change:29510,1,1,flight_change,critical,flight,critical,flight,06:00,11:00,101,300,28999,25508,2,0,1,9.7,ok,1,0,arrival,0,0,0,1,0,1
2026-07-26,flight_change:29883,1,1,flight_change,critical,flight,critical,flight,06:00,11:03,102,303,27513,27513,2,0,1,-43.5,ok,1,0,return,0,0,0,0,0,0
2026-07-26,flight_change:30234,1,1,flight_change,critical,flight,critical,flight,06:00,08:39,54,159,26371,26371,2,0,0,-13.4,ok,1,0,return,0,0,0,0,0,0
2026-07-26,flight_change:30309,1,1,flight_change,critical,flight,critical,flight,06:00,14:33,172,513,25205,25205,2,0,1,-4.2,ok,1,0,return,0,0,0,0,0,0
2026-07-26,overlap:16925:28442,1,1,overlap,critical,clock_only,critical,clock_only,06:00,07:57,40,117,28442,28442,2,0,1,0.7,ok,1,0,return,0,0,0,0,0,0
2026-07-26,overlap:17585:23151,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,09:57,80,237,23151,23151,2,0,1,-9.0,ok,1,0,return,0,0,1,0,0,0
2026-07-26,overlap:23603:15087,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,09:42,75,222,15087,15087,2,0,1,19.7,ok,1,1,return,0,0,1,0,0,0
2026-07-26,overlap:27960:27968,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,06:48,17,48,27968,27968,2,0,1,4.1,ok,1,0,return,0,0,1,0,0,0
2026-07-26,overlap:28442:29400,1,1,overlap,critical,clock_only,critical,clock_only,06:00,07:18,27,78,29400,29400,2,0,0,-7.2,ok,1,0,arrival,0,0,0,0,0,0
2026-07-26,overlap:28906:19977,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,09:57,80,237,19977,19977,2,0,1,,none,0,,cruise,0,0,1,0,0,0
2026-07-26,overlap:29029:28700,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,09:57,80,237,28700,28700,2,0,1,18.3,ok,1,1,return,0,0,1,0,0,0
2026-07-26,overlap:29100:25945,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,06:00,06:27,10,27,25945,25945,2,0,1,-0.6,ok,1,0,return,0,0,0,0,0,0
2026-07-26,overlap:30470:30054,1,1,overlap,critical,clock_only,critical,clock_only,06:00,07:54,39,114,30054,30054,2,0,1,1.8,ok,1,0,cruise,0,0,0,0,0,0
2026-07-26,overlap:30632:29030,1,1,overlap,critical,clock_only,critical,clock_only,06:00,17:15,226,675,29030,29030,2,0,1,26.9,ok,1,1,other,0,0,0,0,0,0
2026-07-26,late_cascade:27960,1,1,late_cascade,critical,clock_only,critical,clock_only,06:03,06:24,8,21,27968,27968,2,0,1,4.1,ok,1,0,return,0,0,0,0,0,0
2026-07-26,late_cascade:23719,1,1,late_cascade,critical,clock_only,critical,clock_only,06:18,06:39,8,21,23719,23719,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-07-26,flight_change:30262,1,1,flight_change,critical,flight,critical,flight,06:57,07:57,21,60,25828,25828,2,0,0,-21.1,ok,1,0,cruise,0,0,0,0,0,0
2026-07-26,flight_change:17559,1,1,flight_change,critical,flight,critical,flight,07:09,07:12,2,3,29589,29589,2,0,1,,none,0,,cruise,0,0,0,0,0,0
2026-07-26,flight_change:29400,1,1,flight_change,critical,flight,critical,flight,07:21,10:48,70,207,24888,24888,2,0,1,-23.6,ok,1,0,return,0,0,0,0,0,0
2026-07-26,flight_change:30668,1,2,flight_change,critical,flight,critical,flight,07:21,09:51,51,150,27827,27827,2,0,1,-10.3,ok,1,0,return,0,0,0,0,0,0
2026-07-26,unassigned:29589,1,1,unassigned,warning,clock_only,warning,clock_only,07:30,08:18,17,48,29589,29589,1,1,0,,none,0,,cruise,0,0,0,0,0,0
2026-07-26,overlap:30470:30609,1,1,overlap,critical,clock_only,critical,recorded_pickup,07:57,08:57,21,60,30609,30609,2,0,1,1.2,ok,1,0,other,0,0,1,0,0,0
2026-07-26,unassigned:30262,1,1,unassigned,warning,clock_only,warning,clock_only,08:03,08:45,15,42,30262,30262,1,1,0,-19.5,ok,1,0,arrival,0,0,0,0,0,0
2026-07-26,overlap:18459:30067,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,08:06,09:27,28,81,30067,30067,2,0,0,-36.7,ok,1,0,cruise,0,0,0,0,0,0
2026-07-26,late_cascade:23603,1,1,late_cascade,critical,clock_only,critical,clock_only,08:33,08:33,1,0,15087,15087,2,0,1,19.7,ok,1,1,return,0,0,0,0,0,0
2026-07-26,flight_change:29337,1,1,flight_change,critical,flight,critical,flight,08:42,10:09,30,87,26371,26371,2,0,1,-13.4,ok,1,0,return,0,0,0,0,0,0
2026-07-26,flight_change:30674,1,1,flight_change,critical,flight,critical,flight,08:42,15:03,128,381,29382,29382,2,0,1,,none,0,,arrival,0,0,0,0,0,0
2026-07-26,late_cascade:29782,1,1,late_cascade,critical,clock_only,critical,clock_only,08:42,08:54,5,12,29802,17898,3,0,1,,none,0,,return,0,0,0,1,1,0
2026-07-26,late_cascade:17585,1,1,late_cascade,critical,clock_only,critical,clock_only,09:03,09:18,6,15,23151,23151,2,0,1,-9.0,ok,1,0,return,0,0,0,0,0,0
2026-07-26,late_cascade:28906,1,1,late_cascade,critical,clock_only,critical,clock_only,09:03,09:12,4,9,19977,19977,2,0,1,,none,0,,cruise,0,0,0,0,0,0
2026-07-26,late_cascade:29029,1,1,late_cascade,critical,clock_only,critical,clock_only,09:18,09:24,3,6,28700,28700,2,0,1,18.3,ok,1,1,return,0,0,0,0,0,0
2026-07-26,late_cascade:17898,1,1,late_cascade,critical,clock_only,critical,clock_only,09:45,10:03,7,18,29802,17898,2,0,1,,none,0,,return,0,0,0,1,1,1
2026-07-26,overlap:21303:27827,1,1,overlap,critical,clock_only,critical,clock_only,10:00,11:51,38,111,27827,27827,2,0,1,-10.3,ok,1,0,return,0,0,0,0,0,0
2026-07-26,late_cascade:19977,1,1,late_cascade,critical,clock_only,watch,clock_only,10:03,11:12,24,69,19977,19977,1,1,1,,none,0,,cruise,0,1,0,1,1,1
2026-07-26,flight_change:30668,2,2,flight_change,warning,flight,warning,flight,10:12,13:27,66,195,30668,30668,1,1,1,-30.8,ok,1,0,arrival,0,0,0,0,0,2
2026-07-26,late_cascade:23151,1,1,late_cascade,critical,clock_only,watch,clock_only,10:21,10:54,12,33,23151,30668,1,1,1,-9.0,ok,1,0,return,0,1,0,2,2,1
2026-07-26,overrun:15087,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,10:39,10:39,1,0,15087,15087,1,1,0,19.7,ok,1,1,return,0,0,0,0,0,0
2026-07-26,unassigned:22827,1,1,unassigned,warning,clock_only,warning,clock_only,10:42,10:48,3,6,22827,22827,1,1,0,-12.4,ok,1,0,arrival,0,0,0,0,0,0
2026-07-26,overlap:28700:30546,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:48,11:42,19,54,30546,30546,2,0,1,-19.6,ok,1,0,return,0,0,0,0,0,0
2026-07-26,overlap:23151:30668,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:57,12:21,29,84,30668,30668,2,0,1,-30.8,ok,1,0,arrival,0,0,0,0,0,2
2026-07-26,flight_change:29604,1,1,flight_change,critical,flight,critical,flight,11:09,13:03,39,114,28448,28448,2,0,1,-5.0,ok,1,0,return,0,0,0,0,0,0
2026-07-26,overlap:19977:26515,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,11:15,11:57,15,42,26515,26515,2,0,1,,none,0,,cruise,0,0,0,0,0,0
2026-07-26,overlap:16393:28667,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,11:36,13:51,46,135,28667,28667,2,0,1,-22.3,ok,1,0,arrival,0,0,0,0,0,0
2026-07-26,overlap:29707:24970,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,11:42,13:51,44,129,24970,24970,2,0,1,9.1,ok,1,0,arrival,0,0,0,0,0,1
2026-07-26,overrun:19977,1,1,overrun,critical,recorded_pickup,critical,recorded_pickup,11:54,11:57,2,3,26515,26515,2,0,1,,none,0,,cruise,0,0,0,0,0,0
2026-07-26,overlap:27338:29337,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,12:12,12:45,12,33,29337,29337,2,0,1,26.4,ok,1,1,arrival,0,0,0,0,0,0
